Nume,Data,Credibilitate,Număr declarații,False,Trunchiate,Parțial adevărate,Adevărate
Klaus Iohannis,2025-04-02,74.375,40,4,5,10,21
Kelemen Hunor,2025-04-02,56.25,8,2,1,3,2
Victor Ponta,2025-04-02,41.44736842105263,38,13,11,4,10
Marcel Ciolacu,2025-04-02,26.902173913043477,92,44,28,9,11
Mircea Geoană,2025-04-02,29.166666666666668,6,2,3,0,1
Elena Lasconi,2025-04-02,41.666666666666664,6,2,2,0,2
Nicușor Dan,2025-04-02,67.85714285714286,35,4,6,11,14
Ilie Bolojan,2025-04-02,81.25,4,0,1,0,3
Cătălin Drulă,2025-04-02,54.6875,16,3,5,2,6
Dan Barna,2025-04-02,62.5,12,1,4,2,5
Dacian Cioloș,2025-04-02,65.625,8,1,2,1,4
Anamaria Gavrilă,2025-04-02,0.0,6,6,0,0,0
Cristian Terheș,2025-04-02,11.666666666666666,15,10,4,1,0
Nicolae Ciucă,2025-04-02,35.294117647058826,17,4,8,4,1
Sebastian Burduja,2025-04-02,53.57142857142857,7,1,2,3,1
George Simion,2025-04-02,12.903225806451612,31,22,6,2,1
Diana Iovanovici-Șoșoacă,2025-04-02,1.3157894736842106,19,18,1,0,0
Iohannis Klaus Werner,2023-11-15,78,22,2,2,6,12
Iohannis Klaus Werner,2023-11-20,80,25,2,3,7,13
Iohannis Klaus Werner,2023-11-25,82,28,2,3,8,15
Iohannis Klaus Werner,2023-12-01,85,30,2,3,8,17
Iohannis Klaus Werner,2023-12-05,88,32,1,3,9,19
Cioloș Dacian Julien,2023-11-15,72,20,3,2,5,10
Cioloș Dacian Julien,2023-11-20,75,22,3,2,6,11
Cioloș Dacian Julien,2023-11-25,78,25,2,2,7,14
Cioloș Dacian Julien,2023-12-01,80,28,2,2,8,16
Cioloș Dacian Julien,2023-12-05,83,30,2,2,9,17
Băsescu Traian,2023-11-15,68,18,4,2,4,8
Băsescu Traian,2023-11-20,70,20,4,2,5,9
Băsescu Traian,2023-11-25,72,22,3,2,6,11
Băsescu Traian,2023-12-01,75,25,3,2,7,13
Băsescu Traian,2023-12-05,78,28,2,2,8,16
Ponta Victor Viorel,2023-11-15,62,15,5,2,3,5
Ponta Victor Viorel,2023-11-20,65,18,4,2,4,8
Ponta Victor Viorel,2023-11-25,68,20,4,2,5,9
Ponta Victor Viorel,2023-12-01,70,22,3,2,6,11
Ponta Victor Viorel,2023-12-05,73,25,3,2,7,13
Dragnea Liviu Nicolae,2023-11-15,58,12,6,2,2,2
Dragnea Liviu Nicolae,2023-11-20,60,15,5,2,3,5
Dragnea Liviu Nicolae,2023-11-25,62,18,4,2,4,8
Dragnea Liviu Nicolae,2023-12-01,65,20,4,2,5,9
Dragnea Liviu Nicolae,2023-12-05,68,22,3,2,6,11
